GTIN,BRAND,PRODUCT_NAME,DESCRIPTION_CLEAN,CATEGORY_L1,CATEGORY_L2,CATEGORY_L3,NET_CONTENT,UOM,PRICE_USD,AVAILABILITY,COUNTRY_OF_ORIGIN,PACKAGING_TYPE,CONTAINS_GLUTEN,CONTAINS_DAIRY,CONTAINS_NUTS,CONTAINS_SOY,CONTAINS_EGGS,ALLERGEN_STATEMENT,ENERGY_KCAL_PER100G,FAT_G_PER100G,SATURATES_G_PER100G,CARBS_G_PER100G,SUGARS_G_PER100G,FIBRE_G_PER100G,PROTEIN_G_PER100G,SALT_G_PER100G
00123456000011,GoldenHarvest,GoldenHarvest Oat Flakes 18oz,"Whole grain rolled oats, lightly toasted for a hearty breakfast",Food,Breakfast Cereals,Oatmeal,18.0,oz,4.29,In Stock,USA,Box,True,False,False,False,False,Contains wheat and oats (gluten),375.0,7.0,1.2,63.0,1.0,10.0,13.0,0.01
00123456000028,GoldenHarvest,GoldenHarvest Honey Granola 16oz,Crunchy granola clusters with real honey and whole grain oats,Food,Breakfast Cereals,Granola,16.0,oz,5.49,In Stock,USA,Bag,True,False,True,False,False,"Contains wheat, oats (gluten) and tree nuts",450.0,18.0,3.0,62.0,22.0,6.0,9.0,0.15
00123456000035,MorningField,MorningField Bran Flakes 14oz,High-fiber bran cereal with essential vitamins and minerals,Food,Breakfast Cereals,Bran Cereal,14.0,oz,3.79,In Stock,USA,Box,True,False,False,False,False,Contains wheat (gluten),330.0,2.5,0.5,77.0,13.0,18.0,10.0,0.8
00123456000042,MorningField,MorningField Fruit & Nut Muesli 20oz,"Swiss-style muesli with dried cranberries, raisins and almonds",Food,Breakfast Cereals,Muesli,20.0,oz,6.99,In Stock,Switzerland,Bag,True,True,True,False,False,"Contains wheat (gluten), milk, and tree nuts",365.0,8.5,1.5,60.0,18.0,8.5,10.5,0.05
00123456000059,NaturePath,NaturePath Organic Corn Flakes 12oz,Simple organic corn flakes with no added sugar,Food,Breakfast Cereals,Corn Flakes,12.0,oz,4.49,In Stock,USA,Box,False,False,False,False,False,Gluten-free facility. No major allergens,380.0,0.8,0.2,87.0,2.5,2.0,7.0,1.0
00123456000066,NaturePath,NaturePath Steel Cut Oats 24oz,Premium steel-cut oats for slow-cooked porridge,Food,Breakfast Cereals,Oatmeal,24.0,oz,5.99,In Stock,USA,Bag,True,False,False,False,False,Contains oats (gluten). Processed in a facility that handles tree nuts,370.0,6.5,1.1,62.0,0.5,10.5,12.5,0.0
00123456000073,SunriseGrains,SunriseGrains Chocolate Puffs 13oz,Crispy chocolate-flavored puffed rice cereal,Food,Breakfast Cereals,Puffed Cereal,13.0,oz,3.99,In Stock,USA,Box,False,True,False,True,False,Contains milk and soy,410.0,4.5,2.5,82.0,33.0,1.5,5.5,0.5
00123456000080,SunriseGrains,SunriseGrains Protein Crunch 15oz,High-protein cereal with soy crisps and flaxseed,Food,Breakfast Cereals,Protein Cereal,15.0,oz,6.49,In Stock,USA,Box,True,True,False,True,False,"Contains wheat (gluten), milk, and soy",380.0,5.0,1.0,55.0,9.0,7.0,20.0,0.4
00123456000097,GoldenHarvest,GoldenHarvest Instant Oatmeal Variety 10pk,"Assorted instant oatmeal packets - maple, apple cinnamon, original",Food,Breakfast Cereals,Instant Oatmeal,10.0,ct,4.99,In Stock,USA,Box,True,True,False,False,False,"Contains wheat, oats (gluten) and milk",370.0,6.0,1.5,66.0,12.0,6.5,8.0,0.55
00123456000103,MorningField,MorningField Cinnamon Squares 14.5oz,Crunchy cinnamon-flavored whole wheat squares,Food,Breakfast Cereals,Flavored Cereal,14.5,oz,4.19,In Stock,USA,Box,True,False,False,True,False,Contains wheat (gluten) and soy,400.0,8.0,1.5,73.0,25.0,4.5,5.5,0.65
00123456000110,PureDairy,PureDairy Whole Milk 1 Gallon,"Fresh pasteurized whole milk from local farms, Vitamin D added",Food,Dairy,Whole Milk,128.0,fl oz,4.59,In Stock,USA,Jug,False,True,False,False,False,Contains milk,61.0,3.3,2.1,4.7,5.0,0.0,3.3,0.1
00123456000127,PureDairy,PureDairy 2% Reduced Fat Milk Half Gallon,Reduced fat milk with Vitamin A and D,Food,Dairy,Reduced Fat Milk,64.0,fl oz,3.29,In Stock,USA,Jug,False,True,False,False,False,Contains milk,50.0,2.0,1.3,4.8,5.1,0.0,3.4,0.1
00123456000134,CreamValley,CreamValley Greek Yogurt Plain 32oz,"Thick and creamy strained Greek yogurt, no added sugar",Food,Dairy,Greek Yogurt,32.0,oz,5.99,In Stock,USA,Tub,False,True,False,False,False,Contains milk,97.0,5.0,3.5,3.6,3.6,0.0,10.0,0.07
00123456000141,CreamValley,CreamValley Greek Yogurt Strawberry 5.3oz,Single-serve strawberry Greek yogurt with real fruit,Food,Dairy,Greek Yogurt,5.3,oz,1.49,In Stock,USA,Cup,False,True,False,False,False,Contains milk,92.0,2.5,1.5,12.0,11.0,0.0,12.0,0.05
00123456000158,CreamValley,CreamValley Vanilla Bean Yogurt 6oz,Smooth and creamy vanilla bean low-fat yogurt,Food,Dairy,Yogurt,6.0,oz,1.19,In Stock,USA,Cup,False,True,False,False,False,Contains milk,85.0,1.5,1.0,15.0,13.0,0.0,5.0,0.08
00123456000165,WisconsinPride,WisconsinPride Sharp Cheddar 8oz,Aged 12 months Wisconsin sharp cheddar block,Food,Dairy,Cheddar Cheese,8.0,oz,4.99,In Stock,USA,Block,False,True,False,False,False,Contains milk,403.0,33.0,21.0,1.3,0.5,0.0,25.0,1.8
00123456000172,WisconsinPride,WisconsinPride Mozzarella Shredded 16oz,"Low-moisture part-skim mozzarella, pre-shredded",Food,Dairy,Mozzarella Cheese,16.0,oz,5.49,In Stock,USA,Bag,False,True,False,False,False,Contains milk,280.0,17.0,11.0,3.0,1.0,0.0,28.0,1.5
00123456000189,PureDairy,PureDairy Heavy Cream 16 fl oz,"Ultra-pasteurized heavy whipping cream, 36% fat",Food,Dairy,Cream,16.0,fl oz,4.79,In Stock,USA,Carton,False,True,False,False,False,Contains milk,340.0,36.0,23.0,2.8,2.8,0.0,2.1,0.03
00123456000196,CreamValley,CreamValley Cottage Cheese 16oz,"Small curd cottage cheese, 4% milkfat",Food,Dairy,Cottage Cheese,16.0,oz,3.99,In Stock,USA,Tub,False,True,False,False,False,Contains milk,98.0,4.3,1.9,3.4,2.7,0.0,11.0,1.0
00123456000202,PureDairy,PureDairy Butter Unsalted 1lb,"Sweet cream unsalted butter, churned fresh",Food,Dairy,Butter,16.0,oz,5.29,In Stock,USA,Block,False,True,False,False,False,Contains milk,717.0,81.0,51.0,0.1,0.1,0.0,0.9,0.01
00123456000219,FreshSqueeze,FreshSqueeze Orange Juice No Pulp 52oz,"100% fresh-squeezed orange juice, not from concentrate",Food,Beverages,Orange Juice,52.0,fl oz,4.99,In Stock,USA,Carton,False,False,False,False,False,No major allergens,44.0,0.1,0.0,10.4,8.5,0.2,0.7,0.0
00123456000226,FreshSqueeze,FreshSqueeze Apple Juice 64oz,100% pressed apple juice from Washington state apples,Food,Beverages,Apple Juice,64.0,fl oz,3.99,In Stock,USA,Bottle,False,False,False,False,False,No major allergens,46.0,0.1,0.0,11.3,9.6,0.1,0.1,0.01
00123456000233,MountainSpring,MountainSpring Sparkling Water Lemon 12pk,"Naturally flavored sparkling mineral water, zero calories",Food,Beverages,Sparkling Water,144.0,fl oz,5.49,In Stock,USA,Can,False,False,False,False,False,No major allergens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00123456000240,MountainSpring,MountainSpring Still Water 24pk,"Purified drinking water, sourced from mountain springs",Food,Beverages,Still Water,405.6,fl oz,4.29,In Stock,USA,Bottle,False,False,False,False,False,No major allergens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00123456000257,LeafBrew,LeafBrew Green Tea Bags 20ct,"Premium Japanese sencha green tea, individually wrapped",Food,Beverages,Green Tea,20.0,ct,4.49,In Stock,Japan,Box,False,False,False,False,False,No major allergens,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
00123456000264,LeafBrew,LeafBrew English Breakfast Tea 40ct,"Full-bodied black tea blend, classic morning tea",Food,Beverages,Black Tea,40.0,ct,5.99,In Stock,Sri Lanka,Box,False,False,False,False,False,No major allergens,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
00123456000271,FreshSqueeze,FreshSqueeze Lemonade 52oz,Old-fashioned lemonade made with real lemons and cane sugar,Food,Beverages,Lemonade,52.0,fl oz,3.79,In Stock,USA,Carton,False,False,False,False,False,No major allergens,42.0,0.0,0.0,11.0,10.5,0.0,0.0,0.01
00123456000288,MountainSpring,MountainSpring Coconut Water 11.2oz,"100% pure coconut water, never from concentrate",Food,Beverages,Coconut Water,11.2,fl oz,2.99,In Stock,Philippines,Carton,False,False,False,False,False,No major allergens. Contains coconut (tree nut),19.0,0.0,0.0,4.5,4.0,0.0,0.2,0.03
00123456000295,LeafBrew,LeafBrew Chai Latte Mix 10ct,Spiced chai tea latte mix with real cinnamon and cardamom,Food,Beverages,Tea Latte,10.0,ct,6.49,In Stock,India,Box,False,True,False,False,False,Contains milk,85.0,2.0,1.5,15.0,12.0,0.5,2.0,0.2
00123456000301,FreshSqueeze,FreshSqueeze Cranberry Juice Cocktail 64oz,"Cranberry juice cocktail from concentrate, 27% juice",Food,Beverages,Cranberry Juice,64.0,fl oz,3.49,In Stock,USA,Bottle,False,False,False,False,False,No major allergens,46.0,0.0,0.0,12.0,11.5,0.0,0.0,0.02
00123456000318,CrunchCraft,CrunchCraft Sea Salt Kettle Chips 7oz,"Hand-cooked potato chips with sea salt, small batch crafted",Food,Snacks,Potato Chips,7.0,oz,3.99,In Stock,USA,Bag,False,False,False,False,False,No major allergens. Made in a facility that processes milk,530.0,30.0,3.0,52.0,0.5,4.5,6.0,1.1
00123456000325,CrunchCraft,CrunchCraft BBQ Chips 9oz,Bold barbecue flavored ridged potato chips,Food,Snacks,Potato Chips,9.0,oz,4.49,In Stock,USA,Bag,False,True,False,False,False,Contains milk,540.0,32.0,4.5,53.0,5.0,3.5,5.5,1.4
00123456000332,NutHouse,NutHouse Roasted Almonds 12oz,"Dry roasted whole almonds, lightly salted",Food,Snacks,Nuts,12.0,oz,7.99,In Stock,USA,Bag,False,False,True,False,False,Contains tree nuts (almonds),579.0,49.0,3.7,22.0,4.4,12.5,21.0,0.25
00123456000349,NutHouse,NutHouse Trail Mix Classic 16oz,"Peanuts, raisins, sunflower seeds, M&Ms, and almonds",Food,Snacks,Trail Mix,16.0,oz,6.49,In Stock,USA,Bag,False,True,True,True,False,"Contains peanuts, tree nuts, milk, and soy",475.0,25.0,5.0,52.0,30.0,4.0,12.0,0.15
00123456000356,DarkBliss,DarkBliss 72% Dark Chocolate Bar 3.5oz,"Premium dark chocolate, 72% cacao, single origin Ghana",Food,Snacks,Dark Chocolate,3.5,oz,4.99,In Stock,Ghana,Bar,False,True,False,True,False,Contains milk and soy (lecithin),560.0,42.0,25.0,33.0,24.0,11.0,8.0,0.01
00123456000363,DarkBliss,DarkBliss Milk Chocolate Almonds 5oz,Roasted almonds coated in smooth milk chocolate,Food,Snacks,Chocolate,5.0,oz,5.49,In Stock,USA,Bag,False,True,True,True,False,"Contains milk, tree nuts (almonds), and soy",530.0,35.0,15.0,48.0,40.0,4.0,9.0,0.1
00123456000370,CrunchCraft,CrunchCraft Multigrain Tortilla Chips 10oz,Baked multigrain tortilla chips with flax and quinoa,Food,Snacks,Tortilla Chips,10.0,oz,4.29,In Stock,USA,Bag,True,False,False,False,False,Contains wheat (gluten),420.0,15.0,1.5,65.0,2.0,5.0,7.0,0.8
00123456000387,NutHouse,NutHouse Cashews Salted 10oz,"Whole fancy cashews, roasted and salted",Food,Snacks,Nuts,10.0,oz,8.99,In Stock,Vietnam,Bag,False,False,True,False,False,Contains tree nuts (cashews),553.0,44.0,8.0,30.0,6.0,3.0,18.0,0.35
00123456000394,DarkBliss,DarkBliss White Chocolate Raspberry Bar 3oz,Creamy white chocolate with freeze-dried raspberry pieces,Food,Snacks,White Chocolate,3.0,oz,4.49,In Stock,Belgium,Bar,False,True,False,True,True,"Contains milk, soy, and egg",540.0,32.0,20.0,57.0,55.0,0.5,6.0,0.15
00123456000400,CrunchCraft,CrunchCraft Pretzel Thins 8oz,"Thin and crispy pretzel crackers, baked not fried",Food,Snacks,Pretzels,8.0,oz,3.49,In Stock,USA,Bag,True,False,False,False,False,Contains wheat (gluten),380.0,3.5,0.5,79.0,2.0,3.0,10.0,2.5
00123456000417,CleanHome,CleanHome All-Purpose Cleaner 32oz,"Multi-surface spray cleaner with lavender scent, plant-based formula",Household,Cleaning,All-Purpose Cleaner,32.0,fl oz,4.49,In Stock,USA,Spray Bottle,False,False,False,False,False,Not a food product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00123456000424,CleanHome,CleanHome Dish Soap Lemon 22oz,"Concentrated dishwashing liquid, cuts through grease",Household,Cleaning,Dish Soap,22.0,fl oz,3.29,In Stock,USA,Bottle,False,False,False,False,False,Not a food product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00123456000431,FreshGlow,FreshGlow Moisturizing Shampoo 12oz,Sulfate-free hydrating shampoo for dry and damaged hair,Personal Care,Hair Care,Shampoo,12.0,fl oz,6.99,In Stock,USA,Bottle,False,False,False,False,False,Not a food product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00123456000448,FreshGlow,FreshGlow Conditioner Repair 12oz,Deep conditioning treatment for damaged hair,Personal Care,Hair Care,Conditioner,12.0,fl oz,7.49,In Stock,USA,Bottle,False,False,False,False,False,Not a food product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00123456000455,FreshGlow,FreshGlow Bar Soap Oatmeal 4pk,Gentle oatmeal bar soap for sensitive skin,Personal Care,Body Care,Bar Soap,4.0,ct,4.99,In Stock,USA,Box,False,False,False,False,False,Not a food product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00123456000462,FrostBite,FrostBite Pepperoni Pizza 2pk,Thin crust pepperoni pizza with mozzarella and tomato sauce,Food,Frozen,Frozen Pizza,2.0,ct,7.99,In Stock,USA,Box,True,True,False,True,False,"Contains wheat (gluten), milk, and soy",240.0,10.0,4.5,28.0,4.0,1.5,11.0,1.5
00123456000479,FrostBite,FrostBite Chicken Tenders 24oz,"Breaded chicken breast tenders, fully cooked",Food,Frozen,Frozen Chicken,24.0,oz,8.49,In Stock,USA,Bag,True,True,False,True,True,"Contains wheat (gluten), milk, soy, and eggs",210.0,10.0,2.0,14.0,1.0,1.0,18.0,1.2
00123456000486,FrostBite,FrostBite Vanilla Ice Cream 48oz,Premium vanilla bean ice cream made with real vanilla,Food,Frozen,Ice Cream,48.0,fl oz,5.99,In Stock,USA,Tub,False,True,False,False,True,Contains milk and eggs,207.0,11.0,7.0,24.0,21.0,0.0,3.5,0.1
00123456000493,FrostBite,FrostBite Mixed Vegetables 16oz,"Flash-frozen mixed vegetables: corn, peas, carrots, green beans",Food,Frozen,Frozen Vegetables,16.0,oz,2.49,In Stock,USA,Bag,False,False,False,False,False,No major allergens,55.0,0.3,0.1,10.0,3.5,3.5,2.5,0.02
00123456000509,FrostBite,FrostBite Fish Sticks 12ct,"Wild-caught pollock fish sticks, breaded and pre-cooked",Food,Frozen,Frozen Seafood,12.0,ct,5.99,In Stock,USA,Box,True,False,False,False,False,Contains wheat (gluten) and fish,200.0,10.0,2.0,17.0,1.0,1.0,12.0,0.8
00123456000516,HearthBaked,HearthBaked Whole Wheat Bread 20oz,"100% whole wheat sandwich bread, no high fructose corn syrup",Food,Bakery,Whole Wheat Bread,20.0,oz,3.99,In Stock,USA,Bag,True,False,False,True,False,Contains wheat (gluten) and soy,245.0,3.5,0.7,43.0,5.0,6.5,10.0,1.1
